Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
Henry J. Steinbomer and Wallace B. Thomas | associated executive architects,Henry J. Steinbomer and Wallace B. Thomas,associated executive architects,coorporate,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Will Noonan Co. | architects,Will Noonan Co.,architects,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Haynes and Kirby | architectural firm,Haynes and Kirby,architectural firm,coorporate,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer | associated architect; Howard Allen | associated architect,Henry Steinbomer,associated architect,person,Howard Allen,associated architect,person,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Henry Mayfield,Henry Mayfield,contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Architectural Board of the Historic Building Foundation,Architectural Board of the Historic Building Foundation,contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Architectural Board of the Historic Building Foundation,Architectural Board of the Historic Building Foundation,contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Dexter Hamon | supervising archtitect,Dexter Hamon,supervising archtitect,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
J. Roy Smith,J. Roy Smith,contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Zeb Rick | architect,Zeb Rick,architect,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Max D. Lovett,Max D. Lovett,contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
"Bradley, George, and Bowman","Bradley, George, and Bowman",contributor,coorporate,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
"Buenz, Cocke, Steinbomer","Buenz, Cocke, Steinbomer",contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Henry Steinbomer; Bartlett Cocke; J.Fred Buenz,Henry Steinbomer,contributor,person,Bartlett Cocke,contributor,person,J.Fred Buenz,contributor,person,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,coorporate,,,,,,,,,
"Historic Buildings Foundation, Architectural Board","Historic Buildings Foundation, Architectural Board",contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Bartlett Cocke,Bartlett Cocke,contributor,person,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
H. Steinbomer,H. Steinbomer,contributor,person,,,,,,,,,
Henry Steinbomer; Bartlett Cocke; J.Fred Buenz,Henry Steinbomer,contributor,person,Bartlett Cocke,contributor,person,J.Fred Buenz,contributor,person,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
John F. Staub; Rather & Howze,John F. Staub,contributor,person,Rather & Howze,contributor,coorporate,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
H. Steinbomer,H. Steinbomer,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Alfred Bossom  (1881-1965),Alfred Bossom,contributor,person,,,,,,,,,
Box and Wagner,Box and Wagner,contributor,coorporate,,,,,,,,,
Hedrick and Lindsley | architects and engineers,Hedrick and Lindsley,architects and engineers,coorporate,,,,,,,,,
Staub and Rather,Staub and Rather,contributor,coorporate,,,,,,,,,
White and Feinberg,White and Feinberg,contributor,coorporate,,,,,,,,,
Finn and Cummins,Finn and Cummins,contributor,coorporate,,,,,,,,,
Leonard J. Lundgren; Edward Maurer,Leonard J. Lundgren,contributor,person,Edward Maurer,contributor,person,,,,,,
Alfred C. Finn | architect,Alfred C. Finn,architect,person,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Elmer G. Withers,Elmer G. Withers,contributor,person,,,,,,,,,
Ben E. Christian,Ben E. Christian,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Charles Custer Designs,Charles Custer Designs,contributor,coorporate,,,,,,,,,
Harwell Hamilton Harris,Harwell Hamilton Harris,contributor,person,,,,,,,,,
Bartlett Cocke,Bartlett Cocke,contributor,person,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Jack Corgan,Jack Corgan,contributor,person,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
David Griffin,David Griffin,contributor,person,,,,,,,,,
Lloyd Tunner | architect,Lloyd Tunner,architect,person,,,,,,,,,
Fredregill Architects,Fredregill Architects,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Staub and Rather,Staub and Rather,contributor,coorporate,,,,,,,,,
Lawrence E. Blue,Lawrence E. Blue,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
F.E.Z. and R.W.C.,F.E.Z. and R.W.C.,contributor,coorporate,,,,,,,,,
J. L. D.,J. L. D.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
S. S.,S. S.,contributor,person,,,,,,,,,
Bartlett Cocke,Bartlett Cocke,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Brubaker Smith and Egan | architects,Brubaker Smith and Egan,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Preston M. Geren | architect,Preston M. Geren,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
J. A. Dillard,J. A. Dillard,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Dr. J. Dahinden,Dr. J. Dahinden,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Preston M. Geren | architects,Preston M. Geren,architects,person,,,,,,,,,
DeWoody and Wukasch | architects,DeWoody and Wukasch,architects,coorporate,,,,,,,,,
S. D. L.,S. D. L.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Norman L. Waterbury,Norman L. Waterbury,contributor,person,,,,,,,,,
Porter and Brierly | architects,Porter and Brierly,architects,coorporate,,,,,,,,,
Chas. E. Armstrong; J.R. Johnson. Jr.,Chas. E. Armstrong,contributor,person,J.R. Johnson. Jr.,contributor,person,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Addis E. Noonan Associates | architect,Addis E. Noonan Associates,architect,coorporate,,,,,,,,,
Preston M. Geren | architects,Preston M. Geren,architects,person,,,,,,,,,
Ed. Maurer and Lundgren,Ed. Maurer and Lundgren,contributor,coorporate,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Matkin-Fitch and Associates | architects,Matkin-Fitch and Associates,architects,coorporate,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Tex-Mex Cement Company,Tex-Mex Cement Company,contributor,coorporate,,,,,,,,,
M. W. Kellogg Company,M. W. Kellogg Company,contributor,coorporate,,,,,,,,,
Preston M. Geren | architect,Preston M. Geren,architect,person,,,,,,,,,
Harvin C. Moore | architect,Harvin C. Moore,architect,person,,,,,,,,,
Preston M. Geren | architect,Preston M. Geren,architect,person,,,,,,,,,
Wyatt C. Hedrick | architect,Wyatt C. Hedrick,architect,person,,,,,,,,,
Bartlett Cocke | architect; Walter C. Bowman | architect,Bartlett Cocke,architect,person,Walter C. Bowman,architect,person,,,,,,
Bartlett Cocke | architect,Bartlett Cocke,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Lundgren and Maurer | architect,Lundgren and Maurer,architect,coorporate,,,,,,,,,
Wyatt C. Hedrick | architect,Wyatt C. Hedrick,architect,person,,,,,,,,,
Matkin and Fitch,Matkin and Fitch,contributor,coorporate,,,,,,,,,
"Giesecke, Kuehne, and Brooks","Giesecke, Kuehne, and Brooks",contributor,coorporate,,,,,,,,,
Jack W. Knostman; James F. Webster,Jack W. Knostman,contributor,person,James F. Webster,contributor,person,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Houston Structural Steel Company,Houston Structural Steel Company,contributor,coorporate,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
"Wilson, Morris, Crain and Anderson | architectural firm","Wilson, Morris, Crain and Anderson",architectural firm,coorporate,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
"Nunn, McGinty and Bovay, Architects and Engineers","Nunn, McGinty and Bovay, Architects and Engineers",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
"Giffels and Vallet, Inc.","Giffels and Vallet, Inc.",contributor,coorporate,,,,,,,,,
Brenchley Construction Company,Brenchley Construction Company,contributor,coorporate,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Lenard Gabert,Lenard Gabert,contributor,person,,,,,,,,,
Preston M. Geren,Preston M. Geren,contributor,person,,,,,,,,,
R. Newell Waters,R. Newell Waters,contributor,person,,,,,,,,,
Preston M. Geren,Preston M. Geren,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
William H. Elliot,William H. Elliot,contributor,person,,,,,,,,,
Richard Hoyt,Richard Hoyt,contributor,person,,,,,,,,,
Sam H. Dixon; B. F. Greenwood; Sam H. Dixon Associates,Sam H. Dixon,contributor,person,B. F. Greenwood,contributor,person,Sam H. Dixon Associates,contributor,coorporate,,,
Woestemeyer and Gaffney | architectural firm,Woestemeyer and Gaffney,architectural firm,coorporate,,,,,,,,,
Preston M. Geren | architect,Preston M. Geren,architect,person,,,,,,,,,
Preston M. Geren | engineer,Preston M. Geren,engineer,person,,,,,,,,,
Sam H. Dixon | architect,Sam H. Dixon,architect,person,,,,,,,,,
Hermon Lloyd | architect,Hermon Lloyd,architect,person,,,,,,,,,
"Card G. Elliott, Jr.","Card G. Elliott, Jr.",contributor,person,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Birdsall P. Briscoe,Birdsall P. Briscoe,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
James O. McNeill,James O. McNeill,contributor,person,,,,,,,,,
Robert C. Smallwood,Robert C. Smallwood,contributor,person,,,,,,,,,
George Pierce; Abel B. Pierce,George Pierce,contributor,person,Abel B. Pierce,contributor,person,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Woestemeyer and Gaffney | architectural firm,Woestemeyer and Gaffney,architectural firm,coorporate,,,,,,,,,
Bartlett Cocke; Walter C. Bowman,Bartlett Cocke,contributor,person,Walter C. Bowman,contributor,person,,,,,,
"O. J. Bohlman Schulenburg, General Contractors","O. J. Bohlman Schulenburg, General Contractors",contributor,person,,,,,,,,,
Zeb Rick | architect,Zeb Rick,architect,person,,,,,,,,,
Delwin V. James | architect,Delwin V. James,architect,person,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Roscoe Smith,Roscoe Smith,contributor,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Alden B. Dow,Alden B. Dow,contributor,person,,,,,,,,,
Kenneth Franzheim,Kenneth Franzheim,contributor,person,,,,,,,,,
Lamar Q. Cato,Lamar Q. Cato,contributor,person,,,,,,,,,
Staub and Rather,Staub and Rather,contributor,coorporate,,,,,,,,,
Lockwood and Andrews | engineers,Lockwood and Andrews,engineers,coorporate,,,,,,,,,
Lamar Q. Cato; Mosher Steel Company,Lamar Q. Cato,contributor,person,Mosher Steel Company,contributor,coorporate,,,,,,
Lamar Q. Cato,Lamar Q. Cato,contributor,person,,,,,,,,,
Staub and Rather,Staub and Rather,contributor,coorporate,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
E. Sirrine & Co. | engineers,E. Sirrine & Co.,engineers,coorporate,,,,,,,,,
F. Perry Johnston,F. Perry Johnston,contributor,person,,,,,,,,,
Addis E. Noonan,Addis E. Noonan,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Lenard Gabert | architect,Lenard Gabert,architect,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Giesecke Kuehne and Brooks | architectural firm,Giesecke Kuehne and Brooks,architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
MacKie and Kamrath,MacKie and Kamrath,contributor,coorporate,,,,,,,,,
Jack Corgan,Jack Corgan,contributor,person,,,,,,,,,
"Harvey A. Jordan, General Contractor","Harvey A. Jordan, General Contractor",contributor,person,,,,,,,,,
Wilbur Kent,Wilbur Kent,contributor,person,,,,,,,,,
Preston M. Geren,Preston M. Geren,contributor,person,,,,,,,,,
"Finn, Cummins and Taylor","Finn, Cummins and Taylor",contributor,coorporate,,,,,,,,,
E. Loveless,E. Loveless,contributor,person,,,,,,,,,
Campbell Taggart Associated Bakeries Inc. | architect,Campbell Taggart Associated Bakeries Inc.,architect,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Lundgren and Maurer | architect,Lundgren and Maurer,architect,coorporate,,,,,,,,,
Leon Howard | golf course architect; J. Eugene Wukasch,Leon Howard,golf course architect,person,J. Eugene Wukasch,contributor,person,,,,,,
J. E. Wukasch and Associates,J. E. Wukasch and Associates,contributor,coorporate,,,,,,,,,
Lamar Q. Cato; Albert Finn,Lamar Q. Cato,contributor,person,Albert Finn,contributor,person,,,,,,
Staub and Rather,Staub and Rather,contributor,coorporate,,,,,,,,,
Preston M. Geren,Preston M. Geren,contributor,person,,,,,,,,,
Clarkson Geren and Pelich Rady,Clarkson Geren and Pelich Rady,contributor,coorporate,,,,,,,,,
Sheffield Steel of Texas,Sheffield Steel of Texas,contributor,person,,,,,,,,,
Nick Gatoura,Nick Gatoura,contributor,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Brock and Anderson,Brock and Anderson,contributor,coorporate,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
R. F. Ball Construction Company,R. F. Ball Construction Company,contributor,coorporate,,,,,,,,,
Eugene Wukasch | architect,Eugene Wukasch,architect,person,,,,,,,,,
Southwestern Bell Telephone Company Engineering Department,Southwestern Bell Telephone Company Engineering Department,contributor,coorporate,,,,,,,,,
Hamiltion Brown; David C. Baer,Hamiltion Brown,contributor,person,David C. Baer,contributor,person,,,,,,
Harry L. Spicer,Harry L. Spicer,contributor,person,,,,,,,,,
Wukasch and Associates | architects,Wukasch and Associates,architects,coorporate,,,,,,,,,
J. Eugene Wukasch | engineer,J. Eugene Wukasch,engineer,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
J. Eugene Wukasch; Robert L. Miller | associate architect,J. Eugene Wukasch,contributor,person,Robert L. Miller,associate architect,person,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Tellepsen Construction Company,Tellepsen Construction Company,contributor,coorporate,,,,,,,,,
Biglow-Liptak Corporation,Biglow-Liptak Corporation,contributor,coorporate,,,,,,,,,
Lamar Q. Cato,Lamar Q. Cato,contributor,person,,,,,,,,,
Alfred C. Finn,Alfred C. Finn,contributor,person,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Eugene Wukasch | architect,Eugene Wukasch,architect,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
J. Eugene Wukasch and Associates,J. Eugene Wukasch and Associates,contributor,coorporate,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Michael A. Chamble,Michael A. Chamble,contributor,person,,,,,,,,,
J. Eugene Wukasch and Associates,J. Eugene Wukasch and Associates,contributor,coorporate,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
J. Eugene Wukasch and Associates,J. Eugene Wukasch and Associates,contributor,coorporate,,,,,,,,,
Eugene Wukasch | architect,Eugene Wukasch,architect,person,,,,,,,,,
Alfred C. Finn,Alfred C. Finn,contributor,person,,,,,,,,,
A&M College of Texas. Office of the College Architect,A&M College of Texas. Office of the College Architect,contributor,coorporate,,,,,,,,,
R. Gill and Associates,R. Gill and Associates,contributor,coorporate,,,,,,,,,
"Ford, Powell & Carson | architects","Ford, Powell & Carson",architects,coorporate,,,,,,,,,
Alfred D. Hughes,Alfred D. Hughes,contributor,person,,,,,,,,,
J. Eugene Wukasch,J. Eugene Wukasch,contributor,person,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
Connector Truss Company,Connector Truss Company,contributor,coorporate,,,,,,,,,
Mosher Steel Company,Mosher Steel Company,contributor,coorporate,,,,,,,,,
Harrison and Kenops Company,Harrison and Kenops Company,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Gibbs and Hill, Inc.","Gibbs and Hill, Inc.",contributor,coorporate,,,,,,,,,
Matkin and Fitch,Matkin and Fitch,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Humble Oil and Refining Company,Humble Oil and Refining Company,contributor,coorporate,,,,,,,,,
C. F. Braun and Company,C. F. Braun and Company,contributor,coorporate,,,,,,,,,
Texaco. Refining Department.,Texaco. Refining Department.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hudson Engineering Corporation,Hudson Engineering Corporation,contributor,coorporate,,,,,,,,,
Wukasch and Associates | architects,Wukasch and Associates,architects,coorporate,,,,,,,,,
Eugene Wukasch | architect,Eugene Wukasch,architect,person,,,,,,,,,
Wukasch and Associates | architects,Wukasch and Associates,architects,coorporate,,,,,,,,,
